review_id,order_id,review_score
review_00114,order_00114,3.0
review_00115,order_00115,3.0
review_00116,order_00116,3.0
review_00117,order_00117,5.0
review_00118,order_00118,2.0
review_00119,order_00119,5.0
review_00120,order_00120,4.0
review_00121,order_00121,3.0
review_00122,order_00122,3.0
review_00123,order_00123,4.0
review_00124,order_00124,5.0
review_00125,order_00125,3.0
review_00126,order_00126,5.0
review_00127,order_00127,3.0
review_00128,order_00128,4.0
review_00129,order_00129,3.0
review_00130,order_00130,5.0
review_00131,order_00131,2.0
review_00132,order_00132,4.0
review_00133,order_00133,2.0
review_00134,order_00134,3.0
review_00135,order_00135,4.0
review_00136,order_00136,4.0
review_00137,order_00137,5.0
review_00138,order_00138,4.0
review_00139,order_00139,4.0
review_00140,order_00140,
review_00141,order_00141,3.0
review_00142,order_00142,5.0
review_00143,order_00143,4.0
review_00144,order_00144,4.0
review_00145,order_00145,1.0
review_00146,order_00146,5.0
review_00147,order_00147,2.0
review_00148,order_00148,4.0
review_00149,order_00149,
review_00150,order_00150,4.0
review_00151,order_00151,3.0
review_00152,order_00152,4.0
review_00153,order_00153,2.0
review_00154,order_00154,3.0
review_00155,order_00155,3.0
review_00156,order_00156,4.0
review_00157,order_00157,4.0
review_00158,order_00158,3.0
review_00159,order_00159,4.0
review_00160,order_00160,3.0
review_00161,order_00161,3.0
review_00162,order_00162,2.0
review_00163,order_00163,3.0
review_00164,order_00164,2.0
review_00165,order_00165,2.0
review_00166,order_00166,5.0
review_00167,order_00167,5.0
review_00168,order_00168,4.0
review_00169,order_00169,4.0
review_00170,order_00170,4.0
review_00171,order_00171,5.0
review_00172,order_00172,4.0
review_00173,order_00173,5.0
review_00174,order_00174,2.0
review_00175,order_00175,4.0
review_00176,order_00176,3.0
review_00177,order_00177,5.0
review_00178,order_00178,5.0
review_00179,order_00179,4.0
review_00180,order_00180,3.0
review_00181,order_00181,5.0
review_00182,order_00182,3.0
review_00183,order_00183,4.0
review_00184,order_00184,5.0
review_00185,order_00185,4.0
review_00186,order_00186,5.0
review_00187,order_00187,5.0
review_00188,order_00188,4.0
review_00189,order_00189,4.0
review_00190,order_00190,4.0
review_00191,order_00191,5.0
review_00192,order_00192,3.0
review_00193,order_00193,4.0
review_00194,order_00194,4.0
review_00195,order_00195,3.0
review_00196,order_00196,4.0
review_00197,order_00197,4.0
review_00198,order_00198,4.0
review_00199,order_00199,5.0
review_00200,order_00200,4.0
review_00201,order_00201,3.0
review_00202,order_00202,3.0
review_00203,order_00203,3.0
review_00204,order_00204,2.0
review_00205,order_00205,5.0
review_00206,order_00206,4.0
review_00207,order_00207,3.0
review_00208,order_00208,4.0
review_00209,order_00209,4.0
review_00210,order_00210,4.0
review_00211,order_00211,4.0
review_00212,order_00212,5.0
review_00213,order_00213,4.0
review_00214,order_00214,
review_00215,order_00215,3.0
review_00216,order_00216,4.0
review_00217,order_00217,4.0
review_00218,order_00218,4.0
review_00219,order_00219,3.0
review_00220,order_00220,5.0
review_00221,order_00221,5.0
review_00222,order_00222,3.0
review_00223,order_00223,2.0
review_00224,order_00224,3.0
review_00225,order_00225,3.0
review_00226,order_00226,2.0
review_00227,order_00227,4.0
review_00228,order_00228,3.0
review_00229,order_00229,5.0
review_00230,order_00230,5.0
review_00231,order_00231,5.0
review_00232,order_00232,4.0
review_00233,order_00233,5.0
review_00234,order_00234,2.0
review_00235,order_00235,4.0
review_00236,order_00236,5.0
review_00237,order_00237,2.0
review_00238,order_00238,
review_00239,order_00239,4.0
