order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,late_flag
order_00052,customer_0055,delivered,2025-01-20 00:00:00,2025-01-20 00:00:00,2025-01-23 00:00:00,2025-02-04 00:00:00,2025-02-05 00:00:00,0.0
order_00053,customer_0064,delivered,2025-03-12 00:00:00,2025-03-12 00:00:00,2025-03-16 00:00:00,2025-03-23 00:00:00,2025-03-30 00:00:00,0.0
order_00054,customer_0115,delivered,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-14 00:00:00,2025-01-24 00:00:00,0.0
order_00055,customer_0101,delivered,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-12 00:00:00,2025-04-20 00:00:00,2025-04-22 00:00:00,0.0
order_00056,customer_0058,delivered,2025-02-06 00:00:00,2025-02-07 00:00:00,2025-02-10 00:00:00,2025-02-15 00:00:00,2025-02-18 00:00:00,0.0
order_00057,customer_0078,delivered,2025-09-17 00:00:00,2025-09-17 00:00:00,2025-09-18 00:00:00,2025-10-04 00:00:00,2025-09-25 00:00:00,1.0
order_00058,customer_0024,delivered,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-14 00:00:00,2025-07-23 00:00:00,2025-07-27 00:00:00,0.0
order_00059,customer_0096,delivered,2025-12-24 00:00:00,2025-12-25 00:00:00,2025-12-26 00:00:00,2026-01-18 00:00:00,2026-01-06 00:00:00,1.0
order_00060,customer_0066,delivered,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-05 00:00:00,2025-10-20 00:00:00,2025-10-14 00:00:00,1.0
order_00061,customer_0063,delivered,2025-08-12 00:00:00,2025-08-12 00:00:00,2025-08-14 00:00:00,2025-08-31 00:00:00,2025-09-03 00:00:00,0.0
order_00062,customer_0091,delivered,2025-07-05 00:00:00,2025-07-06 00:00:00,2025-07-09 00:00:00,2025-07-12 00:00:00,2025-07-19 00:00:00,0.0
order_00063,customer_0075,delivered,2025-01-20 00:00:00,2025-01-21 00:00:00,2025-01-21 00:00:00,2025-02-14 00:00:00,2025-02-08 00:00:00,1.0
order_00064,customer_0008,delivered,2025-01-26 00:00:00,2025-01-26 00:00:00,2025-01-28 00:00:00,2025-02-03 00:00:00,2025-02-13 00:00:00,0.0
order_00065,customer_0034,delivered,2025-08-13 00:00:00,2025-08-14 00:00:00,2025-08-15 00:00:00,2025-08-22 00:00:00,2025-09-02 00:00:00,0.0
order_00066,customer_0021,delivered,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-18 00:00:00,2025-01-22 00:00:00,0.0
order_00067,customer_0088,delivered,2025-01-16 00:00:00,2025-01-17 00:00:00,2025-01-18 00:00:00,2025-02-01 00:00:00,2025-01-31 00:00:00,1.0
order_00068,customer_0004,delivered,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-23 00:00:00,2025-04-09 00:00:00,2025-04-12 00:00:00,0.0
order_00069,customer_0024,delivered,2025-11-19 00:00:00,2025-11-20 00:00:00,2025-11-20 00:00:00,2025-12-02 00:00:00,2025-11-25 00:00:00,1.0
order_00070,customer_0071,delivered,2025-06-17 00:00:00,2025-06-18 00:00:00,2025-06-20 00:00:00,2025-07-07 00:00:00,2025-07-09 00:00:00,0.0
order_00071,customer_0083,delivered,2025-09-16 00:00:00,2025-09-17 00:00:00,2025-09-19 00:00:00,2025-09-29 00:00:00,2025-10-02 00:00:00,0.0
order_00072,customer_0060,delivered,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-06-04 00:00:00,2025-06-14 00:00:00,2025-06-13 00:00:00,1.0
order_00073,customer_0103,delivered,2025-03-05 00:00:00,2025-03-06 00:00:00,2025-03-08 00:00:00,2025-03-28 00:00:00,2025-03-26 00:00:00,1.0
order_00074,customer_0110,delivered,2025-05-16 00:00:00,2025-05-17 00:00:00,2025-05-17 00:00:00,2025-06-03 00:00:00,2025-05-23 00:00:00,1.0
order_00075,customer_0015,delivered,2025-02-03 00:00:00,2025-02-03 00:00:00,2025-02-04 00:00:00,2025-02-11 00:00:00,2025-02-10 00:00:00,1.0
order_00076,customer_0114,delivered,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-28 00:00:00,2025-10-21 00:00:00,1.0
order_00077,customer_0073,delivered,2025-03-08 00:00:00,2025-03-09 00:00:00,2025-03-10 00:00:00,2025-03-17 00:00:00,2025-03-19 00:00:00,0.0
order_00078,customer_0076,delivered,2025-05-18 00:00:00,2025-05-18 00:00:00,2025-05-19 00:00:00,2025-06-10 00:00:00,2025-06-06 00:00:00,1.0
order_00079,customer_0011,delivered,2025-12-24 00:00:00,2025-12-25 00:00:00,2025-12-28 00:00:00,2026-01-10 00:00:00,2026-01-16 00:00:00,0.0
order_00080,customer_0074,delivered,2025-08-05 00:00:00,2025-08-05 00:00:00,2025-08-08 00:00:00,2025-08-12 00:00:00,2025-08-17 00:00:00,0.0
order_00081,customer_0087,canceled,2025-06-17 00:00:00,2025-06-18 00:00:00,2025-06-20 00:00:00,,2025-06-30 00:00:00,
order_00082,customer_0069,delivered,2025-07-18 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-08-03 00:00:00,2025-08-01 00:00:00,1.0
order_00083,customer_0010,delivered,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-18 00:00:00,2025-10-26 00:00:00,2025-11-05 00:00:00,0.0
order_00084,customer_0062,canceled,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-04 00:00:00,,2025-04-23 00:00:00,
order_00085,customer_0112,delivered,2025-08-21 00:00:00,2025-08-22 00:00:00,2025-08-23 00:00:00,2025-09-02 00:00:00,2025-09-03 00:00:00,0.0
order_00086,customer_0086,delivered,2025-11-15 00:00:00,2025-11-15 00:00:00,2025-11-17 00:00:00,2025-12-06 00:00:00,2025-12-01 00:00:00,1.0
order_00087,customer_0016,delivered,2025-07-28 00:00:00,2025-07-29 00:00:00,2025-08-01 00:00:00,2025-08-03 00:00:00,2025-08-11 00:00:00,0.0
order_00088,customer_0115,canceled,2025-06-12 00:00:00,2025-06-13 00:00:00,2025-06-14 00:00:00,,2025-06-26 00:00:00,
order_00089,customer_0115,delivered,2025-02-22 00:00:00,2025-02-22 00:00:00,2025-02-23 00:00:00,2025-03-04 00:00:00,2025-03-16 00:00:00,0.0
order_00090,customer_0020,delivered,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-03 00:00:00,2025-04-24 00:00:00,2025-04-20 00:00:00,1.0
order_00091,customer_0096,delivered,2025-12-12 00:00:00,2025-12-12 00:00:00,2025-12-14 00:00:00,2025-12-21 00:00:00,2025-12-26 00:00:00,0.0
order_00092,customer_0048,delivered,2025-07-17 00:00:00,2025-07-18 00:00:00,2025-07-18 00:00:00,2025-07-28 00:00:00,2025-07-25 00:00:00,1.0
order_00093,customer_0071,delivered,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-21 00:00:00,2025-05-01 00:00:00,2025-05-06 00:00:00,0.0
order_00094,customer_0053,delivered,2025-06-02 00:00:00,2025-06-02 00:00:00,2025-06-03 00:00:00,2025-06-13 00:00:00,2025-06-07 00:00:00,1.0
order_00095,customer_0093,canceled,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-08-01 00:00:00,,2025-08-07 00:00:00,
order_00096,customer_0119,delivered,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-18 00:00:00,2025-07-24 00:00:00,2025-07-30 00:00:00,0.0
order_00097,customer_0095,delivered,2025-09-13 00:00:00,2025-09-13 00:00:00,2025-09-15 00:00:00,2025-10-08 00:00:00,2025-09-27 00:00:00,1.0
order_00098,customer_0111,delivered,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-07 00:00:00,2025-04-13 00:00:00,2025-04-26 00:00:00,0.0
order_00099,customer_0113,delivered,2025-08-25 00:00:00,2025-08-25 00:00:00,2025-08-26 00:00:00,2025-09-10 00:00:00,2025-09-14 00:00:00,0.0
order_00100,customer_0010,delivered,2025-06-11 00:00:00,2025-06-12 00:00:00,2025-06-15 00:00:00,2025-07-03 00:00:00,2025-06-24 00:00:00,1.0
order_00101,customer_0030,delivered,2025-12-10 00:00:00,2025-12-10 00:00:00,2025-12-14 00:00:00,2026-01-07 00:00:00,2026-01-01 00:00:00,1.0
order_00102,customer_0086,delivered,2025-02-27 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-03-24 00:00:00,2025-03-17 00:00:00,1.0
order_00103,customer_0070,delivered,2025-02-24 00:00:00,2025-02-25 00:00:00,2025-02-26 00:00:00,2025-02-27 00:00:00,2025-03-01 00:00:00,0.0
order_00104,customer_0006,delivered,2025-06-18 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-07-16 00:00:00,2025-07-08 00:00:00,1.0
order_00105,customer_0011,delivered,2025-07-05 00:00:00,2025-07-05 00:00:00,2025-07-07 00:00:00,2025-07-23 00:00:00,2025-07-14 00:00:00,1.0
order_00106,customer_0062,delivered,2025-09-10 00:00:00,2025-09-10 00:00:00,2025-09-12 00:00:00,2025-09-21 00:00:00,2025-09-28 00:00:00,0.0
order_00107,customer_0073,delivered,2025-05-28 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-06-14 00:00:00,2025-06-15 00:00:00,0.0
order_00108,customer_0020,delivered,2025-11-30 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-27 00:00:00,2025-12-20 00:00:00,1.0
order_00109,customer_0020,delivered,2025-06-23 00:00:00,2025-06-24 00:00:00,2025-06-25 00:00:00,2025-07-09 00:00:00,2025-07-07 00:00:00,1.0
order_00110,customer_0015,delivered,2025-02-17 00:00:00,2025-02-17 00:00:00,2025-02-20 00:00:00,2025-02-28 00:00:00,2025-03-04 00:00:00,0.0
order_00111,customer_0067,delivered,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-15 00:00:00,2025-02-25 00:00:00,2025-02-22 00:00:00,1.0
order_00112,customer_0000,delivered,2025-12-22 00:00:00,2025-12-22 00:00:00,2025-12-26 00:00:00,2026-01-19 00:00:00,2026-01-06 00:00:00,1.0
order_00113,customer_0068,delivered,2025-02-18 00:00:00,2025-02-18 00:00:00,2025-02-20 00:00:00,2025-03-18 00:00:00,2025-03-03 00:00:00,1.0
order_00114,customer_0057,delivered,2025-12-12 00:00:00,2025-12-13 00:00:00,2025-12-16 00:00:00,2025-12-24 00:00:00,2025-12-25 00:00:00,0.0
order_00115,customer_0055,delivered,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-05-08 00:00:00,2025-05-05 00:00:00,1.0
order_00116,customer_0081,delivered,2025-02-04 00:00:00,2025-02-04 00:00:00,2025-02-07 00:00:00,2025-02-21 00:00:00,2025-02-12 00:00:00,1.0
order_00117,customer_0062,delivered,2025-04-22 00:00:00,2025-04-23 00:00:00,2025-04-26 00:00:00,2025-05-04 00:00:00,2025-05-14 00:00:00,0.0
order_00118,customer_0087,delivered,2025-08-13 00:00:00,2025-08-14 00:00:00,2025-08-14 00:00:00,2025-08-30 00:00:00,2025-08-26 00:00:00,1.0
order_00119,customer_0091,delivered,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-10 00:00:00,2025-06-18 00:00:00,2025-06-27 00:00:00,0.0
order_00120,customer_0110,delivered,2025-10-14 00:00:00,2025-10-14 00:00:00,2025-10-16 00:00:00,2025-10-31 00:00:00,2025-10-29 00:00:00,1.0
order_00121,customer_0095,delivered,2025-08-12 00:00:00,2025-08-13 00:00:00,2025-08-14 00:00:00,2025-09-02 00:00:00,2025-08-30 00:00:00,1.0
order_00122,customer_0062,delivered,2025-05-27 00:00:00,2025-05-28 00:00:00,2025-05-30 00:00:00,2025-06-23 00:00:00,2025-06-11 00:00:00,1.0
order_00123,customer_0059,delivered,2025-08-20 00:00:00,2025-08-21 00:00:00,2025-08-23 00:00:00,2025-09-03 00:00:00,2025-09-06 00:00:00,0.0
order_00124,customer_0028,delivered,2025-12-21 00:00:00,2025-12-22 00:00:00,2025-12-22 00:00:00,2026-01-03 00:00:00,2026-01-07 00:00:00,0.0
order_00125,customer_0071,delivered,2025-05-31 00:00:00,2025-06-01 00:00:00,2025-06-04 00:00:00,2025-06-23 00:00:00,2025-06-18 00:00:00,1.0
order_00126,customer_0016,delivered,2025-02-26 00:00:00,2025-02-26 00:00:00,2025-03-01 00:00:00,2025-03-06 00:00:00,2025-03-14 00:00:00,0.0
order_00127,customer_0111,delivered,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-06-03 00:00:00,2025-06-18 00:00:00,2025-06-17 00:00:00,1.0
order_00128,customer_0101,delivered,2025-11-03 00:00:00,2025-11-04 00:00:00,2025-11-05 00:00:00,2025-11-26 00:00:00,2025-11-24 00:00:00,1.0
order_00129,customer_0014,delivered,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-24 00:00:00,2025-04-09 00:00:00,2025-04-07 00:00:00,1.0
order_00130,customer_0094,delivered,2025-12-13 00:00:00,2025-12-13 00:00:00,2025-12-15 00:00:00,2025-12-23 00:00:00,2025-12-27 00:00:00,0.0
order_00131,customer_0014,delivered,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-07 00:00:00,2025-08-28 00:00:00,2025-08-16 00:00:00,1.0
order_00132,customer_0086,delivered,2025-08-08 00:00:00,2025-08-09 00:00:00,2025-08-12 00:00:00,2025-08-23 00:00:00,2025-08-24 00:00:00,0.0
order_00133,customer_0010,delivered,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-30 00:00:00,2025-05-11 00:00:00,2025-05-09 00:00:00,1.0
order_00134,customer_0058,delivered,2025-12-02 00:00:00,2025-12-02 00:00:00,2025-12-05 00:00:00,2025-12-19 00:00:00,2025-12-16 00:00:00,1.0
order_00135,customer_0078,delivered,2025-01-14 00:00:00,2025-01-14 00:00:00,2025-01-18 00:00:00,2025-01-22 00:00:00,2025-02-06 00:00:00,0.0
order_00136,customer_0087,delivered,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-22 00:00:00,2025-05-09 00:00:00,2025-05-03 00:00:00,1.0
order_00137,customer_0050,delivered,2025-06-02 00:00:00,2025-06-03 00:00:00,2025-06-04 00:00:00,2025-06-11 00:00:00,2025-06-19 00:00:00,0.0
order_00138,customer_0110,delivered,2025-06-24 00:00:00,2025-06-24 00:00:00,2025-06-28 00:00:00,2025-07-21 00:00:00,2025-07-16 00:00:00,1.0
order_00139,customer_0092,delivered,2025-06-23 00:00:00,2025-06-24 00:00:00,2025-06-24 00:00:00,2025-07-13 00:00:00,2025-07-16 00:00:00,0.0
order_00140,customer_0024,canceled,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-26 00:00:00,,2025-03-08 00:00:00,
order_00141,customer_0080,delivered,2025-03-24 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-04-11 00:00:00,2025-04-06 00:00:00,1.0
order_00142,customer_0087,delivered,2025-02-04 00:00:00,2025-02-05 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-10 00:00:00,0.0
order_00143,customer_0040,delivered,2025-07-28 00:00:00,2025-07-29 00:00:00,2025-07-30 00:00:00,2025-08-10 00:00:00,2025-08-15 00:00:00,0.0
order_00144,customer_0088,delivered,2025-05-09 00:00:00,2025-05-10 00:00:00,2025-05-11 00:00:00,2025-05-22 00:00:00,2025-05-20 00:00:00,1.0
order_00145,customer_0107,delivered,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-28 00:00:00,2025-08-11 00:00:00,2025-08-09 00:00:00,1.0
order_00146,customer_0098,delivered,2025-08-04 00:00:00,2025-08-05 00:00:00,2025-08-06 00:00:00,2025-08-17 00:00:00,2025-08-17 00:00:00,0.0
order_00147,customer_0091,delivered,2025-09-14 00:00:00,2025-09-15 00:00:00,2025-09-16 00:00:00,2025-10-07 00:00:00,2025-09-29 00:00:00,1.0
order_00148,customer_0076,delivered,2025-07-19 00:00:00,2025-07-20 00:00:00,2025-07-21 00:00:00,2025-07-29 00:00:00,2025-08-10 00:00:00,0.0
order_00149,customer_0032,canceled,2025-08-25 00:00:00,2025-08-26 00:00:00,2025-08-28 00:00:00,,2025-09-05 00:00:00,
order_00150,customer_0095,delivered,2025-08-03 00:00:00,2025-08-04 00:00:00,2025-08-07 00:00:00,2025-08-18 00:00:00,2025-08-19 00:00:00,0.0
order_00151,customer_0043,delivered,2025-08-27 00:00:00,2025-08-28 00:00:00,2025-08-30 00:00:00,2025-09-15 00:00:00,2025-09-09 00:00:00,1.0
order_00152,customer_0063,delivered,2025-08-14 00:00:00,2025-08-15 00:00:00,2025-08-17 00:00:00,2025-08-25 00:00:00,2025-08-27 00:00:00,0.0
order_00153,customer_0037,delivered,2025-04-26 00:00:00,2025-04-27 00:00:00,2025-04-30 00:00:00,2025-05-14 00:00:00,2025-05-03 00:00:00,1.0
order_00154,customer_0037,delivered,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-04-04 00:00:00,2025-04-23 00:00:00,2025-04-12 00:00:00,1.0
order_00155,customer_0018,delivered,2025-10-15 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-28 00:00:00,2025-10-30 00:00:00,0.0
order_00156,customer_0115,delivered,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-09 00:00:00,2025-05-16 00:00:00,2025-05-28 00:00:00,0.0
order_00157,customer_0017,delivered,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-21 00:00:00,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0
order_00158,customer_0010,delivered,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-14 00:00:00,2025-03-29 00:00:00,2025-03-20 00:00:00,1.0
order_00159,customer_0112,delivered,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-11 00:00:00,2025-06-13 00:00:00,2025-06-14 00:00:00,0.0
order_00160,customer_0066,delivered,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-14 00:00:00,2025-07-30 00:00:00,2025-07-24 00:00:00,1.0
order_00161,customer_0052,delivered,2025-08-17 00:00:00,2025-08-17 00:00:00,2025-08-21 00:00:00,2025-09-05 00:00:00,2025-09-02 00:00:00,1.0
order_00162,customer_0088,delivered,2025-07-12 00:00:00,2025-07-13 00:00:00,2025-07-16 00:00:00,2025-07-30 00:00:00,2025-07-19 00:00:00,1.0
order_00163,customer_0045,delivered,2025-05-12 00:00:00,2025-05-13 00:00:00,2025-05-16 00:00:00,2025-05-29 00:00:00,2025-05-25 00:00:00,1.0
order_00164,customer_0015,delivered,2025-12-18 00:00:00,2025-12-19 00:00:00,2025-12-21 00:00:00,2026-01-12 00:00:00,2026-01-06 00:00:00,1.0
order_00165,customer_0087,delivered,2025-07-07 00:00:00,2025-07-07 00:00:00,2025-07-11 00:00:00,2025-07-15 00:00:00,2025-07-13 00:00:00,1.0
